informant;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
at the doctor;Other language;Turkish;Turkish, French;Turkish;Other language;Turkish;Turkish;Turkish;Turkish;Turkish;No language given;No language given;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Turkish;French;Turkish;Turkish;French;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish
at the police;Other language;Turkish;Turkish, French;Turkish;No language given;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Turkish;French;Turkish;Turkish;French;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish
at the bank;Other language;Turkish;Turkish, French;No language given;Other language;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Turkish;French;Turkish;Turkish;French;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish
at court;Other language;Turkish;Turkish, French;Turkish;No language given;Turkish;Turkish;Turkish;No language given;Turkish;Turkish;Turkish;No language given;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Turkish;French;Turkish;Turkish;French;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish
with teachers at school;Other language;Turkish;Turkish, French;Turkish;No language given;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Turkish;French;Turkish;Turkish;French;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish
when asking for directions;Other language;Turkish;Turkish, French;Turkish;Other language;Turkish;Turkish;Turkish;No language given;Turkish;Turkish;No language given;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;French;Turkish;Turkish;French;Turkish;Turkish;Turkish;Turkish;Kurmanji, Turkish;Turkish;Şexbizinî, Kurmanji, Turkish;Kurmanji, Turkish;Turkish;Şexbizinî;Turkish;Turkish;Turkish;Turkish
with customers;Other language;Turkish;Turkish, French;Şexbizinî;Other language;Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Kurmanji;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Kurmanji, Turkish;Turkish;Turkish;French;Turkish;Turkish;French;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Şexbizinî, Kurmanji, Turkish;No language given;No language given;Turkish;Turkish;Turkish;Turkish;Turkish
when shopping;Other language;Turkish;French;No language given;Other language;Turkish;Turkish;Turkish;Şexbizinî;Turkish;Kurmanji;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;French;Turkish;Turkish;French;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Kurmanji, Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish
at the restaurant;Other language;Turkish;French;No language given;Other language;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Turkish;French;Turkish;Turkish;French;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish;Turkish
at weddings;Kurmanji, Turkish, German;Turkish;Şexbizinî, Turkish, French;Şexbizinî;Şexbizinî;Turkish;Turkish;Şexbizinî;Turkish;Şexbizinî, Turkish;Kurmanji;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî;Şexbizinî;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Turkish;Turkish;Kurmanji, Turkish;Turkish;Şexbizinî, Kurmanji, Turkish;Kurmanji, Turkish;Turkish;Şexbizinî;Şexbizinî, Kurmanji;Şexbizinî, Turkish;Şexbizinî, Turkish;Turkish
at funerals;Kurmanji, Turkish, German;Turkish;Şexbizinî;Şexbizinî;No language given;Turkish;Turkish;Şexbizinî;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî;Şexbizinî;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Turkish;Turkish;Kurmanji, Turkish;Turkish;Şexbizinî, Kurmanji, Turkish;Kurmanji;Turkish;Şexbizinî;Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Turkish
at religious ceremonies;Kurmanji, Turkish, German, French;Turkish;Şexbizinî;No language given;No language given;Turkish;Turkish;Şexbizinî;Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish, Other language;Şexbizinî, Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Turkish;Şexbizinî, Turkish;Şexbizinî, Turkish;Turkish;Turkish;Turkish;Kurmanji, Turkish;Turkish;Şexbizinî, Kurmanji, Turkish;Kurmanji, Turkish;Turkish, Other language;Şexbizinî;Turkish;Şexbizinî, Turkish;Turkish;Turkish
